3,4
3,11
3,13
4,5
4,7
4,3
6,2
7,6
7,3
7,12
7,7
7,11
8,6
10,6
11,8
11,10
11,11
11,13
12,13
12,14
13,1
13,7
13,11
14,2
14,4
14,11
14,10
15,2
15,8
15,13
16,11
17,7
17,10
17,8
18,0
19,6
19,5
19,7
20,8
20,14
21,10
21,13
21,14
21,12
22,11
24,0
24,11
24,4
26,2
26,5
26,10
32,0
32,13
34,13
36,6
36,8
36,12
37,0
37,4
38,5
42,4
42,9
42,10
45,14
59,12
60,11
69,9
69,10
69,6
69,7
70,3
71,13
72,12
73,10
73,11
75,4
76,0
76,6
76,11
77,1
77,14
78,0
78,2
78,9
79,10
79,14
79,13
81,2
83,4
83,8
83,12
83,6
83,7
84,13
84,8
84,11
84,2
85,10
85,11
85,0
85,1
86,8
86,9
86,12
87,2
87,6
87,7
88,2
88,1
88,7
88,14
88,9
88,12
89,13
89,11
90,9
90,13
90,7
90,2
90,1
91,5
91,6
91,13
91,11
91,9
92,13
93,4
94,3
94,5
99,9
100,12
100,6
101,3
101,6
101,7
102,5
102,12
106,11
106,3
106,14
107,6
107,11
107,7
107,9
109,13
109,14
109,3
109,2
109,1
110,5
110,13
111,11
111,2
112,0
112,2
112,13
114,5
115,8
115,9
116,13
119,12
112,10
127,2
150,10
150,2
154,8
154,4
164,4
164,10
166,5
167,1
167,12
167,3
172,1
173,3
175,5
177,14
178,10
181,1
181,9
181,14
183,12
183,2
184,6
185,9
185,11
185,10
187,2
188,4
188,14
189,0
189,7
192,1
193,1
193,13
194,14
199,5
200,1
200,12
